Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,Abs_Spearman,Quadratic_R2
MACCS_162,-0.22374059108812958,1.6612898859271818e-85,-0.23940953094351042,5.4743574831388186e-98,0.22374059108812958,0.23940953094351042,0.050059852100465374
AUTOCORR2D_191,-0.22273367108129677,9.78805366184656e-85,-0.34861779531081016,1.021412463400021e-212,0.22273367108129677,0.34861779531081016,0.08669029761869396
AUTOCORR2D_71,-0.22172166816089017,5.767517406946459e-84,-0.39822127942995905,9.709864405408409e-283,0.22172166816089017,0.39822127942995905,0.07555897146978108
MACCS_139,0.21872675028705607,1.0424360199491254e-81,0.21767466639173894,6.352615094833165e-81,0.21872675028705607,0.21767466639173894,0.04784139129113629
AUTOCORR2D_91,-0.21610410801938268,9.267491795717216e-80,-0.25970109966509064,1.4559181115520784e-115,0.21610410801938268,0.25970109966509064,0.05320354415770567
AUTOCORR2D_176,0.2151412620945812,4.742609191562669e-79,0.23132561718001277,1.9723303988796313e-91,0.2151412620945812,0.23132561718001277,0.05095183720216179
EState_VSA4,-0.215077422329682,5.2833305938966736e-79,-0.20196273501561493,1.0851913727590777e-69,0.215077422329682,0.20196273501561493,0.04748971013350667
AUTOCORR2D_68,-0.21448410639250856,1.438710409364199e-78,-0.25134857019811396,3.9175303661003664e-108,0.21448410639250856,0.25134857019811396,0.06066496759368467
AUTOCORR2D_88,-0.21422917072227254,2.2105965845816673e-78,-0.2391011242910453,9.841892285282406e-98,0.21422917072227254,0.2391011242910453,0.05040462060366979
AUTOCORR2D_150,-0.21340492888604148,8.82980770752531e-78,-0.3252080651246887,8.683889938154753e-184,0.21340492888604148,0.3252080651246887,0.10001358144545291
AUTOCORR2D_50,-0.21330704201094275,1.0404244572500764e-77,-0.2090768007473678,1.1554613514913847e-74,0.21330704201094275,0.2090768007473678,0.08248167024138842
AUTOCORR2D_87,-0.2128043787229862,2.4131060863898125e-77,-0.37418752766859337,2.8216833345874725e-247,0.2128043787229862,0.37418752766859337,0.06499182078471366
AUTOCORR2D_112,-0.21249082335880853,4.0739139796411685e-77,-0.2708280668962947,6.812481883602789e-126,0.21249082335880853,0.2708280668962947,0.04531470006244409
MACCS_165,-0.21242347438953763,4.558430895048106e-77,-0.24174591175512108,6.259554319312705e-100,0.21242347438953763,0.24174591175512108,0.04512373247172241
Morgan_593,-0.21111004613807435,4.047699807124113e-76,-0.1820644389400166,9.227353429860216e-57,0.21111004613807435,0.1820644389400166,0.04456745158041975
fr_bicyclic,-0.21110082823525728,4.109998835309762e-76,-0.20114846224250604,3.9158749919125426e-69,0.21110082823525728,0.20114846224250604,0.04535580133136907
Morgan_352,-0.21084415815422886,6.286668882984053e-76,-0.19517134804819264,4.0709995290919215e-65,0.21084415815422886,0.19517134804819264,0.04445525902776537
AUTOCORR2D_55,-0.20930758268756972,7.912511090707842e-75,-0.4573973086352528,0.0,0.20930758268756972,0.4573973086352528,0.09914509245790204
Morgan_151,-0.20898125971406423,1.3513706642142323e-74,-0.15478198462964843,2.4923938965756064e-41,0.20898125971406423,0.15478198462964843,0.04367316691167733
AUTOCORR2D_86,-0.2088270054541403,1.7398923333921465e-74,-0.33161730965781133,1.8527786873605533e-191,0.2088270054541403,0.33161730965781133,0.0548325883202988
EState_VSA2,-0.20881463869486475,1.7754857611560682e-74,-0.12150163861992504,5.320652824070606e-26,0.20881463869486475,0.12150163861992504,0.04936471184341429
